date,key,value
12/10/16,Sarkozy,0
12/10/16,Juppe,0
12/10/16,Macron,7
12/10/16,Hollande,0
12/10/16,Valls,0
12/10/16,Montebourg,0
12/10/16,Hamon,0
12/10/16,Melenchon,0
12/11/16,Le Pen,3
12/11/16,Fillon,1
12/11/16,Sarkozy,1
12/11/16,Juppe,0
12/11/16,Macron,7
12/11/16,Hollande,0
12/11/16,Valls,2
12/11/16,Montebourg,0
12/11/16,Hamon,0
12/11/16,Melenchon,0
12/12/16,Le Pen,3
12/12/16,Fillon,8
12/12/16,Sarkozy,1
12/12/16,Juppe,0
12/12/16,Macron,12
12/12/16,Hollande,2
12/12/16,Valls,6
12/12/16,Montebourg,0
12/12/16,Hamon,1
12/12/16,Melenchon,1
12/13/16,Le Pen,2
12/13/16,Fillon,11
12/13/16,Sarkozy,0
12/13/16,Juppe,0
12/13/16,Macron,2
12/13/16,Hollande,0
12/13/16,Valls,3
12/13/16,Montebourg,0
12/13/16,Hamon,0
12/13/16,Melenchon,1
12/14/16,Le Pen,3
12/14/16,Fillon,2
12/14/16,Sarkozy,0
12/14/16,Juppe,0
12/14/16,Macron,3
12/14/16,Hollande,0
12/14/16,Valls,5
12/14/16,Montebourg,4
12/14/16,Hamon,0
